country_name,continent,country_pk,language_pk,pk,jsondata,id,name,description,markup_description,latitude,longitude,version
Afghanistan,Asia,1,111,111,,ish,Ishkashmi,,,37.0,72.0,1
Afghanistan,Asia,1,209,209,,rsh,Shughni,,,38.1666666667,71.5,1
Afghanistan,Asia,1,353,353,,ktz,Kati (in Afghanistan),,,35.5,70.0,1
Afghanistan,Asia,1,616,616,,wgl,Waigali,,,35.0,71.25,1
Afghanistan,Asia,1,791,791,,dri,Dari,,,35.0,66.0,1
Afghanistan,Asia,1,1018,1018,,blc,Baluchi,,,28.0,62.0,1
Afghanistan,Asia,1,1417,1417,,pra,Prasuni,,,35.5,71.0,1
Afghanistan,Asia,1,1422,1422,,sav,Savi,,,35.0,71.5,1
Afghanistan,Asia,1,1666,1666,,wak,Wakhi,,,36.5,72.0,1
Afghanistan,Asia,1,1875,1875,,mog,Moghol,,,35.0,62.0,1
Afghanistan,Asia,1,2282,2282,,uzb,Uzbek,,,39.0,66.0,1
Afghanistan,Asia,1,2303,2303,,psh,Pashto,,,33.0,67.0,1
Albania,Europe,2,2374,2374,,alb,Albanian,,,41.0,20.0,1
Algeria,Africa,3,33,33,,bou,Berber (Wargla),,,31.9166666667,5.33333333333,1
Algeria,Africa,3,287,287,,bmz,Berber (Mzab),,,32.5,3.5,1
Algeria,Africa,3,1020,1020,,bch,Berber (Chaouia),,,35.0,7.0,1
Algeria,Africa,3,1584,1584,,ams,Arabic (Modern Standard),,,25.0,42.0,1
Algeria,Africa,3,1757,1757,,kbl,Kabyle,,,36.5,5.0,1
Algeria,Africa,3,1780,1780,,tug,Tuareg (Ahaggar),,,23.0,6.0,1
Algeria,Africa,3,1826,1826,,brf,Berber (Rif),,,34.5,-4.0,1
American Samoa,Australia & Oceania,4,2304,2304,,sam,Samoan,,,-13.916666666700001,-171.83333333299998,1
Angola,Africa,5,486,486,,yak,Yaka,,,-7.0,17.5,1
Angola,Africa,5,620,620,,xun,!Xun (Ekoka),,,-19.6666666667,18.0,1
Angola,Africa,5,1127,1127,,luc,Lucazi,,,-14.0,20.0,1
Angola,Africa,5,1282,1282,,umb,UMbundu,,,-12.5,15.0,1
Angola,Africa,5,1648,1648,,kxo,Kxoe,,,-17.5,22.5,1
Angola,Africa,5,1724,1724,,kwn,Kwangali,,,-18.0,19.5,1
Angola,Africa,5,2003,2003,,ndo,Ndonga,,,-18.0,17.0,1
Angola,Africa,5,2450,2450,,juh,Ju|'hoan,,,-19.0,21.0,1
Angola,Africa,5,2460,2460,,luv,Luvale,,,-12.0,22.0,1
Angola,Africa,5,2596,2596,,kwy,Iwoyo,,,-5.5,12.25,1
Angola,Africa,5,2597,2597,,sku,Suku,,,-6.0,17.6666666667,1
Argentina,South America,6,372,372,,lsa,Lengua de Señas Argentina,,,-34.0,-63.0,1
Argentina,South America,6,497,497,,alc,Allentiac,,,-31.0,-68.0,1
Argentina,South America,6,710,710,,lul,Lule,,,-28.0,-64.0,1
Argentina,South America,6,858,858,,atm,Atacameño,,,-23.0,-69.0,1
Argentina,South America,6,868,868,,crt,Chorote,,,-22.5,-62.5,1
Argentina,South America,6,921,921,,crg,Chiriguano,,,-23.6666666667,-64.3333333333,1
Argentina,South America,6,1571,1571,,teh,Tehuelche,,,-48.0,-68.0,1
Argentina,South America,6,1595,1595,,gku,Gününa Küne,,,-41.0,-67.0,1
Argentina,South America,6,1626,1626,,tob,Toba,,,-26.5,-59.0,1
Argentina,South America,6,1813,1813,,pga,Pilagá,,,-25.0,-60.0,1
Argentina,South America,6,2677,2677,,mcv,Mocoví,,,-28.0,-60.5,1
Argentina,South America,6,2305,2305,,sel,Selknam,,,-53.0,-70.0,1
Argentina,South America,6,2339,2339,,abi,Abipón,,,-29.0,-61.0,1
Argentina,South America,6,2469,2469,,wch,Wichí,,,-22.5,-62.5833333333,1
Armenia,Asia,7,2391,2391,,arm,Armenian (Eastern),,,40.0,45.0,1
Australia,Australia & Oceania,8,17,17,,arr,Arrernte,,,-24.0,134.0,1
Australia,Australia & Oceania,8,51,51,,dda,Dhuwal (Dätiwuy),,,-12.166666666700001,136.25,1
Australia,Australia & Oceania,8,67,67,,gml,Gamilaraay,,,-29.8333333333,149.5,1
Australia,Australia & Oceania,8,94,94,,gmt,Gumatj,,,-12.5,135.5,1
Australia,Australia & Oceania,8,137,137,,kij,Kitja,,,-17.5,127.75,1
Australia,Australia & Oceania,8,177,177,,mdb,Mudburra,,,-17.3333333333,132.08333333299998,1
Australia,Australia & Oceania,8,187,187,,ngy,Ngarinyman,,,-16.5,130.5,1
Australia,Australia & Oceania,8,198,198,,pak,Pakanha,,,-14.5,142.41666666700002,1
